Código modular,Código de local,Código de institución,Nombre de IE,Nivel / Modalidad,Forma,Género,Tipo de Gestión,Dependencia,Dirección de IE,Localidad,Centro Poblado,Área Geográfica,Provincia,Distrito,UGEL,Tipo de programa,Turno
0421255,171775,22775235,FRANCISCA DIEZ CANSECO DE CASTILLA,Secundaria,Escolarizado,Mujeres,Pública de gestión directa,Sector Educación,PARQUE PLAZOLETA BOLOGNESI S/N,,HUANCAVELICA,Urbana,Huancavelica,Huancavelica,UGEL Huancavelica,No aplica,Mañana y Tarde
0421396,171799,26933803,RAMON CASTILLA Y MARQUESADO,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PROLONGACION CELESTINO MANCHEGO 1550,,SANTA ANA,Urbana,Huancavelica,Huancavelica,UGEL Huancavelica,No aplica,Mañana y Tarde
0637132,171737,24434486,CESAR VALLEJO,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL S/N,,PUEBLO LIBRE,Rural,Huancavelica,Huancavelica,UGEL Huancavelica,No aplica,Mañana
0715961,171761,22774816,MICAELA BASTIDAS PUYUCAHUA,Secundaria,Escolarizado,Mujeres,Pública de gestión directa,Sector Educación,JIRON CASTROVIRREYNA S/N,,YANANACO,Urbana,Huancavelica,Huancavelica,UGEL Huancavelica,No aplica,Mañana y Tarde
1058353,171803,26369266,36556 ISOLINA CLOTET DE FERNANDINI,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA AUGUSTO B LEGUIA 335,SANTA BARBARA,SANTA BARBARA,Urbana,Huancavelica,Huancavelica,UGEL Huancavelica,No aplica,Mañana y Tarde
1060185,171940,26859311,COOPERATIVO,Secundaria,Escolarizado,Mixto,Privada,Particular,JIRON AGUSTIN GAMARRA 210,,HUANCAVELICA,Urbana,Huancavelica,Huancavelica,UGEL Huancavelica,No aplica,Mañana y Noche
1058437,001938,26755778,SAN CRISTOBAL,Secundaria,Escolarizado,Varones,Pública de gestión directa,Sector Educación,JIRON HUAYNA CAPAC 530,,SAN CRISTOBAL,Urbana,Huancavelica,Huancavelica,UGEL Huancavelica,No aplica,Mañana
1400084,613047,26929296,CESAR VALLEJO,Secundaria,Escolarizado,Mixto,Privada,Particular,JIRON SEBASTIAN BARRANCA S/N,,HUANCAVELICA,Urbana,Huancavelica,Huancavelica,UGEL Huancavelica,No aplica,Tarde
1400159,613127,26929377,JOSE CARLOS MARIATEGUI,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL S/N,,PAMPACHACRA,Rural,Huancavelica,Huancavelica,UGEL Huancavelica,No aplica,Mañana
1400175,534861,26040159,SANTA ISABEL,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,CARRETERA HVCA-HYO S/N,,ANTACCOCHA,Rural,Huancavelica,Huancavelica,UGEL Huancavelica,No aplica,Mañana
1104413,171742,26810884,SEMINARIO SAN JUAN MARIA VIANNEY,Secundaria,Escolarizado,Varones,Pública de gestión privada,Convenio con Sector Educación,AVENIDA ANDRES AVELINO CACERES 790,,YANANACO,Urbana,Huancavelica,Huancavelica,UGEL Huancavelica,No aplica,Mañana y Tarde
1058395,171817,,TERESA DE LA CRUZ,Secundaria,Escolarizado,Mixto,Privada,Comunidad o asociación religiosa,JIRON NICOLAS DE PIEROLA 603,,HUANCAVELICA,Urbana,Huancavelica,Huancavelica,UGEL Huancavelica,No aplica,Mañana
1346683,516635,26841402,LA PRE,Secundaria,Escolarizado,Mixto,Privada,Particular,CERCADO,CERCADO,HUANCAVELICA,Urbana,Huancavelica,Huancavelica,UGEL Huancavelica,No aplica,Mañana
1370535,532715,22289551,D'UNI,Secundaria,Escolarizado,Mixto,Privada,Particular,JIRON ARICA 219,,HUANCAVELICA,Urbana,Huancavelica,Huancavelica,UGEL Huancavelica,No aplica,Mañana y Tarde
1380187,171624,26933722,36344 VALENTIN LOPEZ MOLINA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,CARRETERA HUANCAVELICA - PISCO,CALLQUI CHICO,CALLQUI CHICO,Rural,Huancavelica,Huancavelica,UGEL Huancavelica,No aplica,Mañana
1466242,592479,22288563,MILENIUM,Secundaria,Escolarizado,Mixto,Privada,Particular,JIRON AGUSTIN GAMARRA 430,HUANCAVELICA,HUANCAVELICA,Urbana,Huancavelica,Huancavelica,UGEL Huancavelica,No aplica,Mañana y Tarde
1566801,640258,24211967,SAN JUAN BOSCO,Secundaria,Escolarizado,Mixto,Privada,Particular,JIRON HUAYNA CAPAC 198,SAN CRISTOBAL,HUANCAVELICA,Urbana,Huancavelica,Huancavelica,UGEL Huancavelica,No aplica,Mañana y Tarde
1645233,727789,22289489,HEINSBERG,Secundaria,Escolarizado,Mixto,Privada,Particular,AVENIDA ESCALONADA 120,SAN CRISTOBAL,HUANCAVELICA,Urbana,Huancavelica,Huancavelica,UGEL Huancavelica,No aplica,Mañana y Tarde
1666551,171563,26309034,COAR HUANCAVELICA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,JIRON JOSE GABRIEL CONDORCANQUI S/N,,SANTA ANA,Urbana,Huancavelica,Huancavelica,UGEL Huancavelica,No aplica,Mañana
1769082,839447,25037200,SANGRE DE CAMPEONES,Secundaria,Escolarizado,Mixto,Privada,Particular,JIRON JOSE OLAYA,SAN CRISTOBAL,SAN CRISTOBAL,Urbana,Huancavelica,Huancavelica,UGEL Huancavelica,No aplica,Mañana
0535211,172261,24434060,SAN JOSE ACOBAMBILLA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,CONDORAY S/N,,SAN JOSE DE ACOBAMBILLA,Rural,Huancavelica,Acobambilla,UGEL Huancavelica,No aplica,Mañana
0535112,655495,25599799,MIGUEL GRAU SEMINARIO,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,,ANCCAPA,Rural,Huancavelica,Acobambilla,UGEL Huancavelica,No aplica,Mañana
0551531,172242,24434303,CESAR VALLEJO MENDOZA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA VILLA UNION S/N,,VIÑAS,Rural,Huancavelica,Acobambilla,UGEL Huancavelica,No aplica,Mañana
1780337,172162,23312964,36110,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA HUANCAVELICA,,SAN ANTONIO,Rural,Huancavelica,Acobambilla,UGEL Huancavelica,No aplica,Mañana
1400324,613274,24975436,JOSE CARLOS MARIATEGUI,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PARQUE PLAZA PRINCIPAL S/N,,JOSE CARLOS MARIATEGUI,Rural,Huancavelica,Acoria,UGEL Huancavelica,No aplica,Mañana
1400365,570948,23312883,CESAR VALLEJO MENDOZA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,LAUCAPAMPA S/N,,CONCHAN,Rural,Huancavelica,Acoria,UGEL Huancavelica,No aplica,Mañana
0421289,173265,26755859,JOSE GALVEZ EGUSQUIZA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,BAYLON,,ACORIA,Rural,Huancavelica,Acoria,UGEL Huancavelica,No aplica,Mañana
0537803,173270,24975762,LEONCIO PRADO GUTIERREZ,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,JIRON ANDRES AVELINO CACERES S/N,,HUANASPAMPA,Rural,Huancavelica,Acoria,UGEL Huancavelica,No aplica,Mañana
0600338,173289,26899419,RICARDO PALMA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,CHIRAUPAMPA S/N,,AÑANCUSI,Rural,Huancavelica,Acoria,UGEL Huancavelica,No aplica,Mañana
